respon,predik1,predik2,predik3
10420,2,19.28,578.26
26481,8,23.27,267.64
20051,,,
108961,39,37.67,566.06
10446,3,28.97,86.9
20999,1,4.39,48.33
20456,0,0,204.98
19872,9,36.01,504.2
11751,1,8.11,1581.25
20244,0,0,80.26
19033,7,26.57,170.78
29462,23,71.1,234.92
47358,6,11.93,79.56
25992,28,105.01,952.56
176664,191,102.65,1849.26
12926,0,0,59.7
46535,29,57.04,572.35
49708,32,60.59,1168.18
20384,1,4.82,173.64
34544,15,42.23,104.17
13553,3,21.49,1289.31
31702,5,13.36,147
11632,5,40.8,220.3
17531,,,
29387,18,53.67,787.17
88680,0,0,143.94
12482,7,55.98,463.85
25067,3,11.87,407.57
14358,0,0,248.57
37352,35,77.67,372.83
20906,0,0,28.45
10550,1,9.96,89.62
11732,,,
22686,15,54.55,385.5
32090,9,27.19,241.68
18419,6,31.57,352.5
56788,14,24.24,361.82
111498,53,45.62,1118.18
34298,9,26.42,129.17
20489,4,18.97,251.32
29911,,,
12267,0,0,149.98
16534,10,62.93,295.76
13692,3,21.54,272.83
27974,3,10.25,167.41
28844,11,37.43,1102.6
11683,5,39.53,1083.09
25062,10,38.73,863.57
41688,32,72.32,596.65
16857,4,23.29,139.76
14292,8,46.04,828.73
57878,10,18.15,455.62
38518,3,7.78,59.64
35761,17,43.64,939.47
24725,18,70.76,1419.14
34402,27,81.13,1577.48
114323,200,170.67,1250.99
11500,7,49.68,127.76
50452,12,23.76,384.07
10030,0,0,246.55
12361,4,30.04,232.79
11838,2,15.55,77.77
18042,15,80.45,1163.91
17655,4,19.77,682.12
10401,3,25.8,395.6
12324,8,60.41,1230.84
24288,,,
15718,4,23.65,76.88
628088,424,68.12,966.16
30050,18,48.7,1201.23
10747,0,0,134.43
10610,2,16.72,292.57
32063,5,14.95,340.76
44822,8,16.48,348.12
15302,,,
22156,1,4.47,22.33
14589,1,5.08,244.05
24461,8,31.89,171.38
70745,,,
24710,1,3.87,85.1
13874,,,
11843,6,48.53,121.32
173339,39,21.14,483.47
43858,2,3.23,161.68
23285,,,
10733,0,0,310.65
25792,2,7.44,141.42
88675,109,128.42,2065.29
40181,18,45.19,1265.25
33530,,,
40773,15,33.78,617.09
26840,1,3.49,90.66
10885,,,
10034,2,19.06,76.24
12200,11,88.1,1938.17
13852,3,20.55,219.16
28434,17,59.26,1307.21
13882,6,42.68,113.81
11992,7,56.18,698.18
11257,0,0,116.97
27537,14,49.5,597.51
606900,324,58.48,3048.38
62195,21,28.62,720.85
49256,7,13.25,83.27
11590,10,83.96,444.97
17834,6,32.97,186.81
12922,5,37.56,1502.52
42892,5,9.78,90.01
25325,1,3.86,390.07
10636,6,58.57,458.81
19952,3,14.52,96.77
85486,22,24.92,440.66
23748,,,
26623,36,131.27,3540.57
38145,13,33.81,408.34
15195,6,30.46,568.5
10883,0,0,78.88
33284,2,6.33,740.32
10742,12,102.94,669.13
46209,14,28.86,138.1
18196,1,5.41,27.07
13983,7,48.02,1029.02
61945,33,50.66,2956.98
102724,35,34.88,1625.6
11514,6,51.04,1514.12
394017,492,121.68,4026.59
38975,,,
29188,5,9.46,242.12
12454,3,23.53,439.32
99922,59,62.01,1432.64
10793,1,9.02,243.53
133179,66,48.71,1160.86
90533,27,21.88,223.64
26727,2,7.52,285.93
19959,31,155.61,476.86
53884,12,23.04,887.01
98784,70,69.06,1155.27
16029,9,51.44,800.14
34256,13,38.41,499.32
24137,0,0,383.23
35976,5,13.5,89.07
10923,1,8.31,83.09
117810,,,
31092,,,
15568,0,0,107.37
107786,67,57.04,332.86
24730,5,20.24,113.34
223019,204,91.54,
61444,6,9.59,487.27
81245,19,24.08,1764.17
17076,0,0,39.54
93086,15,15.47,408.3
61815,28,41.79,1707.41
14629,1,6.66,106.6
21877,2,7.79,487.18
30987,,,
30462,,,
17038,15,84.15,297.32
11492,3,24.59,131.14
12520,4,28.68,759.91
28974,0,0,13.32
32315,23,63.31,231.23
44685,12,22.52,540.49
59177,18,28.63,1348.6
17392,2,11.49,86.15
19631,3,15.02,70.12
19279,5,23,280.63
23799,15,55.29,449.67
15472,9,53.53,386.63
64989,29,43.04,978.02
12481,2,15.86,63.43
15223,7,44.69,434.14
30872,13,40.18,689.27
66270,41,58.15,694.91
13280,5,31.92,210.67
89699,39,40.39,798.57
11472,5,40.49,736.96
110658,30,25.56,473.71
22676,30,124.94,662.2
14698,3,18.31,463.84
10704,2,17.5,507.39
36048,17,45.33,391.99
19800,8,39.16,582.45
10069,8,77.15,298.97
10904,2,18.82,517.6
31954,12,40.05,874.44
13739,7,50.74,1790.5
13243,5,37.02,651.61
99581,,,
23674,16,71.19,489.45
57407,8,14.29,778.93
13088,1,7.44,282.67
29281,23,67.88,1230.71
18046,,,
14265,0,0,186.22
28335,,,
12518,3,23.75,110.86
101409,31,26.87,340.63
19033,,,
21385,13,58.13,384.56
22097,,,
89286,,,
11949,5,42.27,109.9
13899,,,
14870,4,26,208.02
10019,11,105.34,1522.7
672971,699,102.92,1681.08
18899,5,26.01,62.43
11657,0,0,30.44
13683,7,36.51,323.35
20337,24,101.66,881.06
92311,14,14.81,579.84
41194,38,102.91,1700.7
14757,4,24.24,1339.48
22792,7,29,165.71
15280,3,19.29,527.37
30897,2,6.01,261.47
30685,6,18,300
10428,6,56.32,234.68
19025,14,72.81,462.84
10809,2,18.58,706.19
21283,25,92.51,1202.68
10701,8,69.24,519.3
17215,5,16.06,253.7
35406,2,5.55,41.65
12818,,,
13220,6,43.37,686.71
33694,,,
63126,22,33.44,541.12
61842,20,31.37,611.64
21761,10,43.78,595.42
35573,11,29.78,343.81
25968,17,61.94,648.57
37391,37,104.21,543.6
53672,5,8.46,470.21
10903,6,49.62,272.91
228537,100,44.02,2017.65
25178,0,0,399.17
19208,19,83.26,604.73
22242,10,42.04,870.26
27610,30,95.33,1404.47
49676,11,21.66,145.74
84298,18,20.76,811.92
156983,120,80.01,
66462,62,84.62,631.89
46109,73,137.56,1164.57
12197,1,8.06,56.43
15571,8,51.82,129.56
14510,2,13.55,291.41
14637,4,26.53,199
20121,,,
53223,,,
13603,3,19.94,471.89
149377,76,45.97,1421.42
10283,6,54.18,460.5
11818,1,7.94,39.71
19536,5,24.57,761.6
19772,16,79.8,369.08
12635,2,15.41,208.06
10555,2,15.47,278.38
27195,11,39.04,330.1
28695,15,48.29,367.02
21564,1,4.44,248.69
128713,32,19.96,303.7
40052,13,30.27,221.18
37684,,,
10404,3,27.2,1759
26478,40,134.82,903.3
53170,,,
17406,19,98.34,2008.28
36365,5,12.79,570.65
27817,2,7.18,82.59
21531,1,4.37,179.06
32387,16,45.73,1440.54
20183,6,27.36,1199.22
52303,13,22.8,270.09
40079,33,75.24,449.15
21211,1,4.61,115.14
48997,25,47.3,1275.11
11305,4,33.47,1204.92
29764,29,95.7,290.39
53008,18,35.26,284.04
23622,7,28.59,514.54
21976,0,0,69.59
52267,36,66.91,513
25312,29,99.5,816.58
23644,2,8.54,469.8
28134,19,69.44,694.37
14256,5,34.65,277.22
17710,14,72.84,239.32
164730,80,45.14,813.57
15535,11,70.29,632.63
10988,2,17.9,178.97
59070,56,92.81,1756.74
34081,,,
28061,4,13.33,173.3
16960,,,
11005,0,0,313.48
71479,20,23.97,433.92
47198,16,34.21,91.93
10129,7,61.15,602.73
19848,1,4.98,44.79
25549,2,7.39,491.54
111183,33,28.94,659.56
11163,7,66.54,1292.78
16202,8,40.05,150.18
23260,8,25.22,349.87
27099,3,10.89,279.55
11820,30,241.06,739.25
12652,7,47.46,284.75
121697,42,33.1,822.7
369879,226,63.7,1262.47
25651,3,11.68,210.28
18624,5,22.75,464.08
14451,3,21.27,42.54
71742,8,10.75,205.68
45608,14,28.86,896.83
87758,68,67.05,383.57
18045,8,42.98,75.22
51638,10,19.13,1262.31
16234,5,28.98,144.9
10084,2,18.16,1425.33
26326,27,91.2,1607.89
17753,6,31.78,121.81
21700,4,17.59,567.16
15743,62,401.35,627.91
22095,2,7.7,69.34
21080,19,93.42,2586.29
12069,1,8.41,235.59
53540,,,
21435,5,20.95,180.13
72411,54,70.24,2682.28
11622,0,0,16.92
16392,1,5.88,94.15
15745,9,56.93,929.91
19220,5,22.79,350.93
69961,116,151.12,530.22
53310,17,28.13,316.1
11199,9,77.47,421.76
14732,3,17.24,137.94
11677,1,8.03,216.87
10539,0,0,54.25
157615,89,52.93,671.46
18867,18,24.68,309.84
40213,15,36.19,1095.4
43063,5,11.07,106.23
11290,0,0,123.33
25905,,,
25083,0,0,23.52
143050,33,22.19,616.67
32509,0,0,88.7
22580,7,30.29,1129.23
28703,2,6.85,58.23
25945,20,74.91,1292.18
23304,25,105.16,1013.71
29151,9,29.15,103.65
210943,157,70.17,1564.23
13020,2,15.23,91.37
25084,,,
12133,3,23.56,125.67
10066,,,
17779,6,33.46,786.35
26455,14,44.51,438.76
22762,14,50.32,747.58
16901,2,10.61,556.88
19513,6,30.84,128.51
21101,3,14.23,284.54
100850,,,
27025,25,91.39,1089.42
108635,26,22.23,624.28
12123,2,16.32,620.31
14378,5,32.85,696.31
14116,1,7.34,161.4
12778,7,46.03,618.06
25098,3,11.97,243.44
44350,9,20.38,140.42
18296,13,70.22,1199.16
266406,70,24.69,
83816,2,4.87,233.77
22776,4,15.65,66.52
47669,20,38.12,1964.89
20210,1,4.83,521.89
14745,2,13.22,455.99
46070,,,
19380,2,9.84,142.71
20125,15,73.38,816.99
19926,1,4.05,24.29
14979,2,11.69,105.23
20612,26,124.57,210.81
22477,,,
10063,0,0,87.96
41100,10,22.04,315.14
38091,14,37.13,230.76
126481,31,24,493.93
358548,204,53.87,3829.21
26716,2,7.16,89.44
14985,4,26.79,428.64
16127,12,60.69,900.31
18170,5,25.98,592.36
16192,11,63.79,133.38
11038,6,50.6,1054.23
15648,1,5.82,232.83
11997,4,32.78,450.75
384736,259,61.71,1595.37
22965,1,3.51,343.74
25355,2,7.57,15.14
15197,8,51.52,399.28
53762,21,37.73,551.55
22122,17,70.81,2728.14
42762,5,11.73,220.58
16366,2,9.15,64.07
48478,11,22.09,148.57
41659,4,9.08,324.61
11727,2,16.96,1305.64
13902,27,198.34,286.49
46380,43,81.59,865.28
46567,28,62.19,1576.9
15337,12,65.41,981.19
15489,2,12.18,541.89
28540,11,48.26,710.78
31100,7,20.65,542.71
11077,1,7.66,214.53
18372,,,
10888,2,17.09,76.9
11818,9,75.37,108.87
13367,3,21.85,276.81
13055,0,0,141.44
10823,1,9.48,237.1
36176,10,21.66,223.06
37861,12,30.18,809.72
13645,2,14.87,208.13
117229,21,17.47,249.62
42045,53,98.08,1622.96
17905,1,5.35,80.24
130069,29,18.38,251.6
12844,0,0,112.75
89443,83,84.72,457.27
24559,6,23.44,269.6
12084,4,27.11,81.34
30705,0,0,302.47
12105,3,22.62,173.4
13443,5,31.05,93.16
21325,12,60.65,161.73
16117,3,18.07,554.08
28743,19,60.12,461.98
15607,2,10.23,659.78
20779,0,0,28.45
18168,5,25.04,661.06
13899,9,62.91,692.02
36326,12,30.97,957.64
19373,,,
33102,24,64.72,447.63
46521,32,61.41,293.63
44683,20,41.11,515.95
14842,4,22.31,278.88
31846,,,
17541,0,0,95.47
48761,27,51.05,521.87
17363,16,86.91,2210.88
159789,82,50.74,1343.3
66467,50,74.8,661.25
14439,6,41.65,333.19
59646,28,40.54,1461.01
15561,0,0,339.84
31099,12,37.21,1513.08
37757,10,25.22,398.42
54516,,,
13326,0,0,44.92
19483,4,20.51,446.04
14280,13,86.62,1059.43
10023,2,17.92,259.79
286215,265,87.05,510.78
11069,1,8.47,635.43
52456,19,32.56,219.36
12557,2,15.46,69.58
23648,,,
20268,1,4.65,255.89
15675,3,19.74,243.47
11339,,,
15403,4,26.91,148.02
12180,,,
57546,43,72.45,303.26
35943,6,16.41,246.09
26314,9,29.92,611.64
257453,194,69.14,792.93
12174,,,
17930,4,22.41,336.13
43184,28,60.62,517.46
21605,0,0,65.03
15512,4,26.49,291.41
11157,3,24.66,139.73
17192,,,
84770,83,93.11,1573.82
66692,12,15.81,502.05
69330,14,19.14,604.42
43627,58,128.21,499.59
226505,131,53.94,1636.75
30625,6,19.37,80.73
31342,22,68.57,377.16
11294,2,16.86,320.4
17085,,,
71245,51,71.6,306.05
50627,50,93.59,2493.17
10447,,,
38125,3,8.16,568.75
75695,92,107.62,2089.28
17623,2,11.17,122.88
10600,2,18.55,194.82
10968,3,22.99,30.66
17647,15,71.36,214.08
99405,103,93.31,430.31
13532,6,42.02,413.19
151976,61,33.44,430.93
69496,39,53.07,1271.02
27596,7,23.19,483.72
16554,1,6.03,96.55
17866,6,34.59,570.7
15181,2,12.99,64.94
12339,1,8.27,57.88
57287,51,90.74,1368.23
10200,1,9.46,122.95
12828,,,
20030,24,109.32,264.2
13325,6,43.73,233.22
15979,4,25.15,591.05
19460,15,76.99,549.22
12002,0,0,64.3
78118,11,13.72,496.56
12001,17,142.21,2451.06
30744,6,19.46,194.55
22125,6,27.24,1911.64
29813,20,61.6,1678.68
59682,18,27.65,950.76
13521,0,0,7.6
103907,56,53.59,1308.07
18820,4,20.69,331.11
30996,14,46,1938.43
11219,0,0,627.84
187106,87,44.15,860.21
19974,0,0,43.5
52931,10,18.32,487.28
59564,30,48.52,1285.83
33592,2,5.52,113.19
10014,0,0,47.11
24146,2,7.95,421.34
27244,1,3.49,296.26
17864,2,11.03,49.63
15644,6,35.31,94.16
30354,12,35.04,878.96
13747,4,29.14,480.87
108777,50,41.52,1219.94
11114,4,28.54,827.68
14536,0,0,111.83
14213,2,13.51,162.1
69512,,,
109199,65,58.01,1448.54
10511,3,28.29,622.29
97291,60,50.09,1218.85
16466,9,49.58,1509.31
17488,6,30.5,213.5
20125,12,50.51,534.6
18530,0,0,133.14
13993,1,8.85,8.85
126272,43,32.92,591.12
75450,100,122.39,1141.93
93643,16,15.97,491.18
44389,29,64.07,1082.63
17208,9,51.49,1590.48
92639,64,69.92,1981.89
63374,26,41.84,996.19
11304,1,8.69,60.84
198525,100,50.25,1291.41
18811,,,
14090,,,
12385,1,7.77,583.07
79662,26,32.32,84.54
183521,105,52.6,861.57
10733,6,49.25,566.36
10725,6,53.65,89.41
34590,13,36.53,112.41
741952,517,138.25,1682.47
10976,1,9.22,82.95
19386,,,
135163,37,24.67,721.98
17916,0,0,416.93
14113,0,0,55.84
40674,24,47.64,867.49
24414,3,11.46,366.83
16799,19,121.13,2052.79
16064,6,35.23,399.23
13937,1,7.17,43.01
17837,19,104.61,765.29
30510,5,15.81,186.52
13986,4,27.05,243.47
21260,8,33.99,229.44
505616,834,168.46,1678.54
98640,87,84.49,1684.94
18374,,,
93613,28,29.46,482.97
55180,0,0,144.2
293742,77,26.34,1091.39
24363,4,12.12,196.89
16569,6,31.53,157.66
15517,0,0,112.63
27099,9,22.59,542.11
18074,3,16.13,279.58
63221,8,12.95,236.43
18911,12,57.53,575.26
18177,12,54.13,460.14
64407,11,14.44,517.18
148134,79,45.31,817.33
28301,25,83.06,1122.96
25899,27,92,1090.36
21472,22,110.26,1047.46
38686,22,53.85,176.25
82169,20,20.83,214.51
33249,16,41.28,864.36
393069,181,41.52,286.27
43726,3,6.16,260.89
13316,0,0,480.89
983403,444,40.9,1097.07
15915,4,22.24,861.93
11822,5,41.25,90.74
13400,0,0,51.04
12131,5,42.09,336.7
10667,0,0,62.03
56065,14,25,1496.64
18794,18,84.57,930.28
15990,2,12.41,155.14
11151,1,8.39,478.35
36006,20,55.63,136.28
15124,8,49.48,408.19
54827,65,103.18,1219.13
45991,23,47.19,369.3
13420,2,14.65,109.84
43764,18,38.89,200.94
69348,4,5.53,208.93
49832,14,26.97,674.31
67561,11,14.46,76.24
22259,1,4.38,135.76
12340,4,32.51,463.3
18910,4,21.8,479.67
11215,3,17.31,756.05
20212,17,81.66,302.61
10971,,,
17336,4,21.72,1026.28
11041,4,35.18,219.86
30843,25,73.08,742.54
11824,5,43,137.59
51618,39,76.08,462.3
45206,39,76.08,2678.55
22779,2,8.63,189.92
19971,1,4.73,127.67
45309,31,67.2,901.76
110642,22,17.7,624.31
80561,62,71.59,952.59
13324,1,7.38,81.17
11795,7,58.74,243.35
25042,10,39.91,99.77
19195,0,0,5.35
13882,,,
19231,5,20.35,73.27
33467,0,0,38.38
23500,0,0,17.62
28148,7,23.77,648.56
49381,13,24.82,234.82
21010,,,
13229,0,0,156.08
16946,2,11.76,488.03
74840,22,27.34,272.13
14599,11,75.17,444.17
30831,7,22.81,404.15
51412,,,
21910,0,0,307.5
19489,4,19.01,822.2
23782,2,8.16,277.57
516259,356,67.01,1399.84
60640,5,8.24,
26690,,,
80505,61,73.39,1538.83
11104,1,8.47,321.82
19781,1,5,40.02
119363,106,80.47,1248.05
50677,,,
15586,4,24.8,130.22
10862,0,0,27.11
15527,3,10.55,432.61
12199,2,16.59,190.79
26243,9,32.24,275.83
10683,7,59.71,597.12
17987,4,21.65,422.22
23501,1,4.15,82.93
20908,21,73.9,700.29
18458,3,15.2,709.29
24512,,,
17651,8,43.72,426.25
26265,2,6.54,13.07
32397,7,19.54,605.74
10663,1,9.43,113.2
27617,,,
15854,4,21.43,353.53
10864,15,129.65,2333.62
51555,30,52.03,180.36
19572,2,9.86,172.63
10941,18,158.69,1313.59
48949,33,60.08,1691.21
23252,4,14.99,741.91
15066,3,19.13,216.85
13198,1,7.37,73.73
16829,1,5.07,324.66
15372,1,6.28,43.98
13333,4,29.14,254.93
37825,7,17.72,255.74
29885,7,18.83,492.4
37520,3,7.14,228.53
20319,3,13,485.18
77759,56,69.62,1246.89
14904,2,9.8,205.84
12208,1,8.08,234.34
25430,4,14.98,86.12
92703,9,10.01,640.62
24544,15,59.71,409.98
14203,4,24.37,255.86
27331,8,27.53,1996.15
23875,6,21.95,288.98
14804,6,32.87,372.56
21732,6,26.9,228.66
54021,5,9.46,285.73
13131,1,7.81,46.85
10567,0,0,132.87
56216,30,49.46,545.75
12251,4,33.09,124.1
32824,5,13.61,353.83
13547,2,15.71,691.17
28898,19,62.8,918.89
